team,played,wins,draws,losses,gf,ga,win_rate
Brazil,117,76,22,19,237.0,108.0,65.0
Germany,115,68,24,23,232.0,130.0,59.1
Argentina,91,47,20,24,152.0,101.0,51.6
Italy,83,45,21,17,128.0,77.0,54.2
France,76,39,17,20,136.0,85.0,51.3
England,77,32,25,20,104.0,68.0,41.6
Spain,70,31,20,19,108.0,75.0,44.3
Netherlands,58,30,17,11,96.0,52.0,51.7
Uruguay,62,25,16,21,89.0,76.0,40.3
Belgium,54,21,13,20,69.0,74.0,38.9
Mexico,63,17,18,28,62.0,101.0,27.0
Poland,38,17,6,15,49.0,50.0,44.7
Portugal,38,17,9,12,61.0,41.0,44.7
Hungary,32,15,3,14,87.0,57.0,46.9
Switzerland,44,14,11,19,55.0,73.0,31.8
Croatia,33,13,11,9,43.0,33.0,39.4
Chile,33,11,7,15,40.0,49.0,33.3
Denmark,23,9,6,8,31.0,29.0,39.1
Colombia,25,9,6,10,32.0,30.0,36.0
Paraguay,30,7,13,10,30.0,38.0,23.3
Japan,28,7,9,12,25.0,33.0,25.0
South Korea,41,7,13,21,39.0,78.0,17.1
Costa Rica,21,6,5,10,22.0,39.0,28.6
Nigeria,21,6,3,12,23.0,30.0,28.6
Turkey,13,5,4,4,20.0,17.0,38.5
Peru,18,5,3,10,21.0,33.0,27.8
Cameroon,26,5,8,13,22.0,47.0,19.2
Ecuador,16,5,5,6,14.0,14.0,31.2
Senegal,15,5,6,4,16.0,17.0,33.3
Ghana,18,5,6,7,18.0,23.0,27.8
Morocco,26,5,10,11,20.0,27.0,19.2
Australia,23,4,7,12,17.0,37.0,17.4
Saudi Arabia,22,4,5,13,14.0,44.0,18.2
Serbia,16,4,2,10,16.0,29.0,25.0
Algeria,16,3,6,7,13.0,19.0,18.8
Ivory Coast,12,3,4,5,13.0,14.0,25.0
Iran,21,3,7,11,13.0,31.0,14.3
Jamaica,3,1,0,2,3.0,9.0,33.3
Czech Republic,6,1,3,2,3.0,4.0,16.7
New Zealand,9,0,6,3,4.0,14.0,0.0
Canada,9,0,3,6,2.0,12.0,0.0
Panama,6,0,3,3,2.0,11.0,0.0
Bolivia,6,0,1,5,1.0,20.0,0.0
Egypt,10,0,5,5,5.0,12.0,0.0
